@relation R_data_frame

@attribute WeekDay numeric
@attribute Hour numeric
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceManuf string
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
2,8,01-10,Android,he,'(not ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,877.5,5,0,0,0,0,0,0,0,1
7,20,21-30,iOS,he,'Apple ',1,google,organic,'Organic Search',(none),MOBILE_WEB,2233,22,0,0,0,0,0,0,0,1
1,18,31-40,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,565,3,0,0,0,0,0,0,0,1
1,18,51-60,Android,he,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,123.5,4.5,0,0,0,0,0,0,0,1
7,12,11-20,Android,he,'Sony ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,170.5,2.5,0,0,0,0,0,0,0,1
5,19,41-50,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,728.666667,19.166667,0,1,0,0,0,0,0,1
2,19,01-10,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,1400.823529,31.588235,0,1,0,1,1,0,0,1
7,7,51-60,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,1
2,19,01-10,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,337,3,0,0,0,0,0,0,0,1
2,5,11-20,Android,he,'Meizu ',1,(direct),(none),Direct,(none),MOBILE_WEB,338,9,0,0,0,0,0,0,0,1
7,22,11-20,Android,he,'Samsung ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,74,5,0,0,0,0,0,0,0,1
4,16,21-30,Android,en,'LG ',1,google,organic,'Organic Search',(none),MOBILE_WEB,53,2,0,0,0,0,0,0,0,1
6,7,21-30,iOS,he,'Apple ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,106,3,0,0,0,0,0,0,0,1
2,4,11-20,Android,he,'Samsung ',51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,1015.5,9,0,1,0,0,1,0,0,1
2,13,11-20,Android,he,'LG ',1,(direct),(none),Direct,(none),MOBILE_WEB,431,6,0,0,0,0,0,0,0,1
4,18,11-20,iOS,he,'Apple ',2,(direct),(none),Direct,(none),MOBILE_WEB,150,3.5,0,0,0,0,0,0,0,1
3,10,31-40,iOS,en,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,103,2,0,0,0,0,0,0,0,1
4,18,11-20,Android,he,'Xiaomi ',3,(direct),(none),Direct,(none),MOBILE_WEB,81,6,0,0,0,0,0,0,0,1
7,22,11-20,Android,he,'Xiaomi ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,60.5,4.5,0,0,0,0,0,0,0,1
7,12,21-30,iOS,he,'Apple ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,703,4,0,0,0,0,0,0,0,1
7,13,01-10,iOS,he,'Apple ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,468.666667,3,0,0,0,0,0,0,0,1
3,4,21-30,Android,he,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,3686,21,0,1,0,1,0,0,0,1
