@relation R_data_frame

@attribute WeekDay string
@attribute Hour string
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceInfo string
@attribute MobileDeviceManuf string
@attribute visitNumber numeric
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
7,21,21-30,Android,he,'(not set)','(not ',28,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,819.5,51.5,0,1,0,1,0,0,0,0
4,17,21-30,Android,he,'Samsung SM-N920C Galaxy Note 5','Samsung ',18,11-20,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,703.333333,31.111111,0,1,0,0,0,0,0,0
4,8,51-60,Android,he,'Huawei VNS-L22 P9 Lite','Huawei ',14,11-20,google,cpc,'Paid Search','Yad2 - Brand+Product',MOBILE_WEB,980.5,21.5,0,1,0,0,0,0,0,0
1,16,21-30,Android,he,'LG D855 G3','LG ',133,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,414.6,9.8,1,1,0,0,0,0,0,0
2,22,01-10,iOS,he,'Apple iPhone','Apple ',119,51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,136.071429,8,0,1,0,0,0,0,0,0
3,9,01-10,Android,he,'Samsung SM-J500F Galaxy J5','Samsung ',183,51+,google,organic,'Organic Search',(none),MOBILE_WEB,371.619048,25.714286,0,1,0,1,0,0,0,0
6,7,51-60,Android,he,'(not set)','(not ',34,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,799.333333,23.666667,0,1,0,1,0,0,0,0
2,18,31-40,Android,he,'Samsung SM-G935F Galaxy S7 Edge','Samsung ',8,6-10,(direct),(none),Direct,(none),MOBILE_WEB,372.75,17.75,0,1,0,1,1,0,0,0
7,18,41-50,iOS,en,'Apple iPhone','Apple ',1,1,(direct),(none),Direct,(none),MOBILE_APP_IOS,1335,22,0,1,0,0,0,0,0,0
6,5,51-60,iOS,he,'Apple iPhone','Apple ',26,21-50,(direct),(none),Direct,(none),MOBILE_APP_IOS,1477,10,0,1,0,0,0,0,0,0
2,20,21-30,Android,he,'Google Nexus 6P','Google ',37,21-50,(direct),(none),Direct,(none),MOBILE_WEB,421,11.666667,0,1,0,0,0,0,0,0
5,4,21-30,Android,ru,'Samsung SM-N910C Galaxy Note 4','Samsung ',342,51+,(direct),(none),Direct,(none),MOBILE_WEB,319,6,0,1,0,1,0,0,0,0
7,23,51-60,Android,ar,'Samsung SM-J710F Galaxy J7 (2016)','Samsung ',1,1,google,cpc,'Paid Search','Yad2 - Brand E',MOBILE_WEB,3833,115,1,1,0,0,0,0,0,0
7,8,41-50,Android,he,'Samsung SM-N920C Galaxy Note 5','Samsung ',92,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,126,8,0,1,0,0,0,0,0,0
1,14,41-50,iOS,he,'Apple iPhone','Apple ',197,51+,google,organic,'Organic Search',(none),MOBILE_WEB,1169.533333,25.8,0,1,0,0,0,0,0,0
7,22,01-10,iOS,en,'Apple iPhone','Apple ',33,21-50,(direct),(none),Direct,(none),MOBILE_APP_IOS,979.666667,15,0,1,0,0,0,0,0,0
4,16,31-40,Android,he,'Samsung SM-J700F Galaxy J7','Samsung ',118,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,451.333333,31,0,1,0,0,0,0,0,0
2,13,21-30,Android,ru,'Samsung SM-N900 Galaxy Note 3','Samsung ',26,21-50,(direct),(none),Direct,(none),MOBILE_WEB,1107,24.75,0,1,0,0,0,0,0,0
5,15,21-30,Android,he,'Google Nexus 5','Google ',15,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,42,3,0,1,0,0,0,0,0,0
3,12,11-20,Android,he,'LG D855 G3','LG ',2,2,google,organic,'Organic Search',(none),MOBILE_WEB,2270,46,0,1,0,0,0,0,0,0
7,16,51-60,Android,he,'Google Nexus 5X','Google ',21,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,305,9,0,1,0,0,0,0,0,0
5,15,11-20,iOS,he,'Apple iPhone','Apple ',29,21-50,(direct),(none),Direct,(none),MOBILE_APP_IOS,465.5,11,0,1,0,1,1,0,0,0
5,14,01-10,Android,he,'(not set)','(not ',33,21-50,icon_cafe,popular_yad2,(Other),kafe_icons,MOBILE_WEB,374,21,0,1,0,1,0,0,0,0
7,11,41-50,Android,he,'Xiaomi Redmi Note 4','Xiaomi ',15,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,2219,79,0,1,0,1,1,0,0,0
2,19,21-30,Android,ru,'Samsung SM-G920F Galaxy S6','Samsung ',70,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,640.333333,16.666667,1,1,0,0,0,0,0,0
3,13,51-60,Android,he,'LG D855 G3','LG ',24,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,62,2,0,1,0,0,0,0,0,0
3,18,41-50,Android,he,'Huawei ALE-L02 P8 Lite','Huawei ',22,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,1418,11,0,1,0,0,0,0,0,0
4,17,41-50,Android,he,'Samsung SM-G930F Galaxy S7','Samsung ',22,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,718,17.25,0,1,0,1,0,0,0,0
4,7,41-50,Android,he,'LG H735 G4 Beat','LG ',85,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,1348.666667,23.666667,0,1,0,1,0,0,0,0
4,17,21-30,Android,he,'Samsung SM-G900F Galaxy S5','Samsung ',15,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,475,6,0,1,0,1,0,0,0,0
7,21,01-10,Android,en,'Samsung SM-G900F Galaxy S5','Samsung ',8,6-10,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,1278,40,0,1,0,0,0,0,0,0
2,14,01-10,Android,he,'Samsung SM-G925F Galaxy S6 Edge','Samsung ',101,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,69.5,3,0,1,0,1,0,0,0,0
7,19,01-10,Android,en,'Google Nexus 6','Google ',162,51+,google,organic,'Organic Search',(none),MOBILE_WEB,549.25,14.25,0,1,0,0,1,0,0,0
