@relation R_data_frame

@attribute WeekDay numeric
@attribute Hour numeric
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceManuf string
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
7,21,51-60,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_WEB,102.5,3,0,1,0,0,1,0,0,0
1,15,11-20,Android,he,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,1,0,0,0,0,0,0
1,18,41-50,Android,he,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,107,2.5,0,1,0,0,0,0,0,0
6,6,11-20,iOS,he,'Apple ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,46,2,0,0,0,0,0,0,0,0
7,17,31-40,Android,he,'Samsung ',3,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
6,10,21-30,iOS,he,'Apple ',2,google,organic,'Organic Search',(none),MOBILE_WEB,1052,6,0,0,0,0,0,0,0,0
4,14,41-50,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,395,2,0,0,0,0,0,0,0,0
5,6,41-50,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,203.5,1.5,0,0,0,0,0,0,0,0
5,7,21-30,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,146.666667,1.666667,0,0,0,0,0,0,0,0
5,9,51-60,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,342.25,2,0,0,0,0,0,0,0,0
6,16,41-50,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,273.8,1.8,0,0,0,0,0,0,0,0
6,16,41-50,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,250.833333,1.833333,0,0,0,0,0,0,0,0
7,9,41-50,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,222.142857,1.857143,0,0,0,0,0,0,0,0
7,14,01-10,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,196.5,1.75,0,0,0,0,0,0,0,0
1,7,41-50,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,174.666667,1.666667,0,0,0,0,0,0,0,0
1,11,51-60,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,162,1.7,0,0,0,0,0,0,0,0
1,17,41-50,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,149.090909,1.636364,0,0,0,0,0,0,0,0
1,20,11-20,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,233.583333,2.416667,0,0,0,0,0,0,0,0
2,5,41-50,Android,he,'Samsung ',51+,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,216.076923,2.307692,0,0,0,0,0,0,0,0
